"quantity","M","rmse","bias","bias_sq","var","rmse_b"
"BCI_L",100,0.0396088097459943,0.0148076533227369,0.000219266596926361,0.00135229580417637,0.0396429363330055
"BCI_L",1000,0.0119785369634735,0.00251710314886863,6.33580826204438e-06,0.000137424388299856,0.0119900040267675
"BCI_L",200,0.0282967463343287,0.0099894402480542,9.97889164694452e-05,0.000702321579799496,0.0283215553292707
"BCI_L",625,0.0148623002461988,0.00343796527864793,1.18196052571887e-05,0.000209487338027026,0.0148763887850585
"BCI_U",100,1.8939751835733,-0.242016851239091,0.0585721562836844,3.53564112195174,1.89584104772405
"BCI_U",1000,0.569638178976393,-0.0773395279813354,0.00598140258837576,0.31914454144205,0.570198162072122
"BCI_U",200,1.24613684890089,-0.17740784724248,0.0314735442632112,1.52443236665875,1.24735957563245
"BCI_U",625,0.704485452240059,-0.054125762565171,0.00292959817326126,0.494358871988597,0.705186833514252
"HPD_L",100,0.075703127183862,0.0656708791535675,0.00431266436880246,0.00142114137937227,0.07572189741531
"HPD_L",1000,0.0254579090099775,0.0208202020213603,0.000433480812210257,0.000215054427805647,0.0254663550594879
"HPD_L",200,0.0572954016394289,0.0504275076544353,0.00254293352823814,0.000741312145075484,0.0573083386019314
"HPD_L",625,0.0315414298560659,0.0263143734952735,0.00069244625244875,0.000303021588092561,0.0315510354907935
"HPD_U",100,1.38834734131886,0.384362784224804,0.147734749897043,1.78334027079168,1.38963125349451
"HPD_U",1000,0.350733428647899,0.0400014143036636,0.00160011314629334,0.121657139103024,0.351080122264587
"HPD_U",200,0.800567601644089,0.165863947784608,0.0275108491746952,0.614626889406286,0.801334972767931
"HPD_U",625,0.420208854713783,0.0119687501393573,0.000143250979898365,0.17678580220438,0.420629353688349
"sample_mean",100,0.228215732600032,0.00827148962158164,6.84175405599328e-05,0.0521182395446987,0.22844399113406
"sample_mean",1000,0.0671169488532483,1.46189227960836e-05,2.13712903717852e-10,0.0045137120337241,0.067184166642424
"sample_mean",200,0.148219670154034,0.000380327527773172,1.44649028382053e-07,0.0220129518752929,0.148368111548005
"sample_mean",625,0.0802890785472336,-0.00151862476232578,2.30622116874904e-06,0.00645694380039588,0.0803694595077299
"sample_median",100,0.128334976880207,0.0160170555696697,0.000256546069121887,0.0162458118454121,0.128461503628651
"sample_median",1000,0.0397980106359556,0.000776020582977432,6.02207945204634e-07,0.00158645234732909,0.0398378532965105
"sample_median",200,0.0878141005141172,0.00289933210800153,8.40612667248859e-06,0.00771834681606311,0.0879019507333916
"sample_median",625,0.0482578354566358,0.000259803295321603,6.74977522599643e-08,0.00233341802124997,0.0483061643996109
